,index,type,geometry,properties.location_state,properties.estab_type,properties.zip_code,properties.city,properties.location_zip,properties.operation_type,properties.state,properties.location_address,properties.address_line_3,properties.location_city,properties.street_name,properties.dba_name,properties.county,properties.entity_name,properties.square_footage,properties.address_line_2,properties.street_number,properties.license_number,geometry.type,geometry.coordinates,address,_location,_latitude,_longitude,_status,_bin,_bbl
0,0,Feature,,NY,"JAC   ",11435,"JAMAICA           ",11435,Store,NY,95 33 SUTPHIN BLVD,"               ",JAMAICA,"SUTPHIN BLVD               ",DELI CENTROAMERICANA CA,Queens,DELI CENTROAMERICANA CARLITOS COR,0,"             ",95-33,739654,,,95 33 SUTPHIN BLVD 95 33 SUTPHIN BLVD,"95-33 SUTPHIN BOULEVARD, Queens, New York, NY, USA",40.697656,-73.805706,Unchecked,4214518,4100270028
1,1,Feature,,NY,"JAC   ",11103,"ASTORIA           ",11103,Store,NY,42 05,"               ",ASTORIA,"BROADWAY                   ","DON GABRIEL            ",Queens,"DON GABRIEL CORP                 ",900,"             ",42-05,741562,,,42 05 42 05,"42 PAERDEGAT 05 STREET, Brooklyn, New York, NY, USA",40.631304,-73.9089,Unchecked,3225900,3080440136
2,23,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,2518 AVENUE,"               ",BROOKLYN,"AVENUE U                    ","PRODUCE MARKET 2000    ",Kings,"PRODUCE MARKET 2000 INC          ",2800,"             ",2518,619082,,,2518 AVENUE 2518 AVENUE,"2518 AVENUE R, Brooklyn, New York, NY, USA",40.606714,-73.947205,Unchecked,3184371,3068310008
3,29,Feature,,NY,"JAC   ",11209,"BROOKLYN          ",11209,Store,NY,100 06 4TH AVE,"               ",BROOKLYN,"4TH AVE                   ","KKISB                  ",Kings,"KKISB CORP                       ",1500,"             ",100-06,731163,,,100 06 4TH AVE 100 06 4TH AVE,?,?,?,Failed,?,?
4,62,Feature,,NY,"JAC   ",11235,"BROOKLYN          ",11235,Store,NY,2972 AVE,"               ",BROOKLYN,"AVE X                       ","AMMAR DELI AND GROCERY ",Kings,"AMMAR DELI AND GROCERY INC       ",1500,"             ",2972,742653,,,2972 AVE 2972 AVE,"2972 AVENUE X, Brooklyn, New York, NY, USA",40.593773,-73.938962,Unchecked,3203614,3074230006
5,77,Feature,,NY,"A     ",11203,"BROOKLYN          ",11203,Store,NY,4104 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","YUN TAI CO             ",Kings,"YUN TAI INC                      ",1200,"             ",4104,612076,,,4104 AVENUE 4104 AVENUE,"4104 AVENUE T, Brooklyn, New York, NY, USA",40.610368,-73.925606,Unchecked,3241921,3085410037
6,135,Feature,,NY,"JAC   ",11237,"BROOKLYN          ",11237,Store,NY,181 ST NICHOLAS AVE,"               ",BROOKLYN,"ST NICHOLAS AVE              ","QUISQUEYA DELI & GRCRY ",Kings,"GONZALEZ RICARDO                 ",800,"             ",181,617752,,,181 ST NICHOLAS AVE 181 ST NICHOLAS AVE,"181 ST NICHOLAS' AVENUE, Brooklyn, New York, NY, USA",40.704191,-73.915608,Unchecked,3074913,3032820010
7,228,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,1201 AVE,"               ",BROOKLYN,"AVE U                       ","1201 DELI & GRILL      ",Kings,"1201 DELI & GRILL INC            ",1200,"             ",1201,734426,,,1201 AVE 1201 AVE,"1201 AVENUE K, Brooklyn, New York, NY, USA",40.622765,-73.963595,Unchecked,3179890,3067140041
8,438,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,700A GRAND,"               ",BRONX,"GRAND CONCOURSE         ","SALAH MARKET           ",Bronx,"SALAH MARKET CORP                ",750,"             ",700A,738787,,,700A GRAND 700A GRAND,?,?,?,Failed,?,?
9,459,Feature,,NY,"JAC   ",10456,"BRONX             ",10456,Store,NY,1266 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","CONCOURSE DELI GROCERY ",Bronx,"CONCOURSE DELI GROCERY INC       ",1500,"             ",1266,608168,,,1266 GRAND 1266 GRAND,"1266 GRAND CONCOURSE, Bronx, New York, NY, USA",40.835895,-73.915858,Unchecked,2002774,2024570040
10,519,Feature,,NY,"JAC   ",11235,"BROOKLYN          ",11235,Store,NY,1710 AVENUE,"               ",BROOKLYN,"AVENUE Y                    ",HISSHO SUSHI@STOP&SHOP#,Kings,"LWIN FAMILY CO LLC               ",400,"             ",1710,740791,,,1710 AVENUE 1710 AVENUE,"1710 AVENUE O, Brooklyn, New York, NY, USA",40.61301,-73.956716,Unchecked,3181954,3067640005
11,533,Feature,,NY,"JAC   ",11205,"BROOKLYN          ",11205,Store,NY,21 FLUSHING AVE,"               ",BROOKLYN,"FLUSHING AVE                  ",WEGMANS FOOD MARKETS #1,Kings,"WEGMANS FOOD MARKETS INC         ",7350,"             ",21,739221,,,21 FLUSHING AVE 21 FLUSHING AVE,"21 FLUSHING AVENUE, Brooklyn, New York, NY, USA",40.698716,-73.978419,Unchecked,3421807,3020230050
12,558,Feature,,NY,"JAC   ",11236,"BROOKLYN          ",11236,Store,NY,935 941 E 107TH ST,"               ",BROOKLYN,"E 107TH ST               ","FOOD WORLD             ",Kings,"PINE TREE MEAT&PRODUCE INC       ",10000,"             ",935-941,613346,,,935 941 E 107TH ST 935 941 E 107TH ST,?,?,?,Failed,?,?
13,609,Feature,,NY,"A     ",11201,"BROOKLYN          ",11201,Store,NY,4 METROTEHC CNTR,"               ",BROOKLYN,"METROTEHC CNTR                 ","VICTORS HALLMARK SHOP  ",Kings,"VICTORS HALLMARK SHOP INC        ",2500,"             ",4,615256,,,4 METROTEHC CNTR 4 METROTEHC CNTR,?,?,?,Failed,?,?
14,621,Feature,,NY,"JAC   ",11213,"BROOKLYN          ",11213,Store,NY,1351 ST JOHNS PLACE,"               ",BROOKLYN,"ST JOHNS PLACE              ","235 GOURMET DELI       ",Kings,"1351 GOURMET DELI INC            ",1000,"             ",1351,741805,,,1351 ST JOHNS PLACE 1351 ST JOHNS PLACE,"1351 ST JOHN'S PLACE, Brooklyn, New York, NY, USA",40.670882,-73.933422,Unchecked,3036784,3013780001
15,761,Feature,,NY,"JAC   ",10452,"BRONX             ",10452,Store,NY,1215 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","MUNCHIES DELI GROCERY  ",Bronx,"MUNCHIES DELI GROCERY CORP       ",1500,"             ",1215,736193,,,1215 GRAND 1215 GRAND,"1215 GRAND STREET, Brooklyn, New York, NY, USA",40.71597,-73.928112,Unchecked,3070505,3029290046
16,840,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,2611 AVENUE,"               ",BROOKLYN,"AVENUE U                    ","M & N PORK STORE       ",Kings,"M & N PORK STORE INC             ",1800,"             ",2611,743114,,,2611 AVENUE 2611 AVENUE,"2611 AVENUE X, Brooklyn, New York, NY, USA",40.593665,-73.944001,Unchecked,3202478,3074050640
17,1062,Feature,,NY,"JAC   ",10467,"BRONX             ",10467,Store,NY,31 26 PERRY AVE,"               ",BRONX,"PERRY AVE                  ","FRUIT MARKET OF KINGS  ",Bronx,"FRUIT MARKET OF KINGS LLC        ",0,"             ",31-26,715672,,,31 26 PERRY AVE 31 26 PERRY AVE,?,?,?,Failed,?,?
18,1102,Feature,,NY,"JAC   ",11204,"BROOKLYN          ",11204,Store,NY,65 11 BAY PARKWAY,"               ",BROOKLYN,"BAY PARKWAY                ","CTRL BAY PKY FOOD      ",Kings,"CTRL BAY PKY FOOD INC            ",0,"             ",65-11,741806,,,65 11 BAY PARKWAY 65 11 BAY PARKWAY,?,?,?,Failed,?,?
19,1105,Feature,,NY,"JAC   ",10469,"BRONX             ",10469,Store,NY,34 31 BAYCHESTER AVE,"               ",BRONX,"BAYCHESTER AVE             ",T FAMOUS GOURMET DELI C,Bronx,"T FAMOUS GOURMET DELI CORP       ",1800,"             ",34-31,607498,,,34 31 BAYCHESTER AVE 34 31 BAYCHESTER AVE,?,?,?,Failed,?,?
20,1157,Feature,,NY,"JAC   ",10453,"BRONX             ",10453,Store,NY,1601 DR,"               ",BRONX,DR MARTIN LUTHER KING JR BLV,LOS CASTILLOS MEAT & FI,Bronx,CARLITOS PIZZERIA & JUICE BAR COR,0,"             ",1601,732915,,,1601 DR 1601 DR,"1601 DR JAMES BOULEVARD, Brooklyn, New York, NY, USA",40.67515,-73.93017,Unchecked,3035806,3013490001
21,1217,Feature,,NY,"JABC  ",10461,"BRONX             ",10461,Store,NY,1720 E CHESTER RD,"               ",BRONX,"E CHESTER RD                ","STOP & SHOP #2594      ",Bronx,STOP & SHOP SUPERMARKET CO LLC TH,60000,"             ",1720,719348,,,1720 E CHESTER RD 1720 E CHESTER RD,?,?,?,Failed,?,?
22,1279,Feature,,NY,"JAC   ",11230,"BROOKLYN          ",11230,Store,NY,1504 AVENUE,"               ",BROOKLYN,"AVENUE J                    ","METRO GOURMET MARKET   ",Kings,"METRO GOURMET MARKET INC         ",2000,"             ",1504,618114,,,1504 AVENUE 1504 AVENUE,"1504 AVENUE H, Brooklyn, New York, NY, USA",40.629774,-73.962052,Unchecked,3179345,3066990002
23,1326,Feature,,NY,"JAC   ",10453,"BRONX             ",10453,Store,NY,1764 DR,"               ",BRONX,DR. MARTIN LUTHER KING JR BL,"K & E MOBIL            ",Bronx,"K & E MOBIL LLC                  ",0,"             ",1764,741677,,,1764 DR 1764 DR,"1764 DR PARKER WAY, Brooklyn, New York, NY, USA",40.682491,-73.910103,Unchecked,3041183,3015170117
24,1338,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,430 GRAND,"               ",BRONX,"GRAND CONCOURSE              ","ELVIS DELI             ",Bronx,"ELVIS DELI CORP                  ",1800,"             ",430,716954,,,430 GRAND 430 GRAND,"430 GRAND STREET, Brooklyn, New York, NY, USA",40.711397,-73.953516,Unchecked,3062861,3023980012
25,1407,Feature,,NY,"A     ",11203,"BROOKLYN          ",11203,Store,NY,4107 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","K-S DISCOUNT MART INC  ",Kings,"K-S DISCOUNT MART INC            ",9800,"             ",4107,611641,,,4107 AVENUE 4107 AVENUE,"4107 AVENUE K, Brooklyn, New York, NY, USA",40.625976,-73.935991,Unchecked,3215953,3077890007
26,1493,Feature,,NY,"JAC   ",11249,"BROOKLYN          ",11249,Store,NY,104 ROSS ST (END OF RODNEY ST,"               ",BROOKLYN,"ROSS ST (END OF RODNEY ST)   ","BED-ROSS GROCERY       ",Kings,"BED-ROSS GROCERY LLC             ",0,"             ",104,612209,,,104 ROSS ST (END OF RODNEY ST 104 ROSS ST (END OF RODNEY ST,?,?,?,Failed,?,?
27,1494,Feature,,NY,"JAC   ",10452,"BRONX             ",10452,Store,NY,1665 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","ESPERANZA GROCERY      ",Bronx,"ESPERANZA GROCERY CORP           ",1000,"             ",1665,710759,,,1665 GRAND 1665 GRAND,"1665 GRAND AVENUE, Bronx, New York, NY, USA",40.8475,-73.91499,Unchecked,2008455,2028660050
28,1613,Feature,,NY,"A     ",11229,"BROOKLYN          ",11229,Store,NY,1301 AVENUE,"               ",BROOKLYN,"AVENUE U                    ",KING OF LATVIA DELICATE,Kings,"KING OF LATVIA DELICATESSEN INC  ",1000,"             ",1301,615196,,,1301 AVENUE 1301 AVENUE,"1301 AVENUE T, Brooklyn, New York, NY, USA",40.601097,-73.958568,Unchecked,3254083,3072920051
29,1713,Feature,,NY,"JAC   ",10468,"BRONX             ",10468,Store,NY,2853 GRAND,"               ",BRONX,"GRAND CONCOURSE STORE #2    ",GRAND CONCOURSE DELI GR,Bronx,"CABRAL LEDWIN DIAZ               ",400,"             ",2853,713702,,,2853 GRAND 2853 GRAND,"2853 GRAND CONCOURSE, Bronx, New York, NY, USA",40.870539,-73.891054,Unchecked,2017574,2033190001
30,1766,Feature,,NY,"A     ",11222,"BROOKLYN          ",11222,Store,NY,1014 MANHATTEN,"               ",BROOKLYN,"MANHATTEN                   ","GREEN DISCOUNT         ",Kings,"GREEN DISCOUNT CORP              ",2000,"             ",1014,742480,,,1014 MANHATTEN 1014 MANHATTEN,?,?,?,Failed,?,?
31,1770,Feature,,NY,"JAC   ",11203,"BROOKLYN          ",11203,Store,NY,4209 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","C-TOWN                 ",Kings,"AVE D FOOD LLC                   ",1000,"             ",4209,738321,,,4209 AVENUE 4209 AVENUE,"4209 AVENUE T, Brooklyn, New York, NY, USA",40.611135,-73.925152,Unchecked,3241309,3085280007
32,1882,Feature,,NY,"JAC   ",11207,"BROOKLYN          ",11207,Store,NY,111 10 FLATLANDS AVE,"               ",BROOKLYN,"FLATLANDS AVE       ","FOOD BAZAAR            ",Kings,"BOGOPA BG FLATLANDS LLC          ",35000,"             ",111-10,724432,,,111 10 FLATLANDS AVE 111 10 FLATLANDS AVE,?,?,?,Failed,?,?
33,1913,Feature,,NY,"JAC   ",10456,"BRONX             ",10456,Store,NY,1278 GRAND,"               ",BRONX,"GRAND CONCOURSE             ",LOS HIJOS DE CHORRO DEL,Bronx,"LOS HIJOS DE CHORRO DELI GROCERY ",2000,"             ",1278,714053,,,1278 GRAND 1278 GRAND,"1278 GRAND CONCOURSE, Bronx, New York, NY, USA",40.836029,-73.915484,Unchecked,2002775,2024570044
34,1924,Feature,,NY,"JAC   ",10456,"BRONX             ",10456,Store,NY,1400 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","JOY'S DELI GROCERY     ",Bronx,"JOY'S DELI GROCERY CORP          ",1200,"             ",1400,702445,,,1400 GRAND 1400 GRAND,"1400 GRAND CONCOURSE, Bronx, New York, NY, USA",40.838785,-73.913269,Unchecked,2101607,2028320001
35,1935,Feature,,NY,"JAC   ",11223,"BROOKLYN          ",11223,Store,NY,387 389 AVENUE,"               ",BROOKLYN,"AVENUE X                 ","GOURMET MEAT MARKET    ",Kings,"GOURMET MEAT MARKET CORP         ",3000,"             ",387-389,737783,,,387 389 AVENUE 387 389 AVENUE,?,?,?,Failed,?,?
36,1964,Feature,,NY,"JAC   ",11223,"BROOKLYN          ",11223,Store,NY,247 AVENUE,"               ",BROOKLYN,"AVENUE X                     ","GOLDEN BELL DELI       ",Kings,"GOLDEN BELL DELI INC             ",1000,"             ",247,615090,,,247 AVENUE 247 AVENUE,"247 AVENUE T, Brooklyn, New York, NY, USA",40.5992,-73.97572,Unchecked,3190325,3070850048
37,2012,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,430 GRAND,"               ",BRONX,"GRAND CONCOURSE          ","HOSTOS DELI & GROCERY  ",Bronx,"HOSTOS DELI & GROCERY CORP       ",0,"             ",430,742787,,,430 GRAND 430 GRAND,"430 GRAND CONCOURSE, Bronx, New York, NY, USA",40.816971,-73.927604,Unchecked,2001013,2023430012
38,2237,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,611 GRAND,"               ",BRONX,"GRAND CONCOURSE        ","EL MANDO DELI          ",Bronx,"EL MANDO DELI INC                ",0,"             ",611,730975,,,611 GRAND 611 GRAND,"611 GRAND CONCOURSE, Bronx, New York, NY, USA",40.820665,-73.926708,Unchecked,2001076,2023480045
39,2333,Feature,,NY,"JAC   ",10468,"BRONX             ",10468,Store,NY,3131 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","FINE FARE SUPERMARKET  ",Bronx,"VARGAS&RODRIGUEZ SUPERMARKET INC ",5000,"             ",3131,603400,,,3131 GRAND 3131 GRAND,"3131 GRAND CONCOURSE, Bronx, New York, NY, USA",40.875057,-73.886806,Unchecked,2017320,2033110001
40,2338,Feature,,NY,"JABCH ",11230,"BROOKLYN          ",11230,Store,NY,424 AVENUE,"               ",BROOKLYN,"AVENUE M                   ","SCHREIBERS BAKERY      ",Kings,"SCHREIBERS HOME STYLE BAKERY INC ",2500,"             ",424,729786,,,424 AVENUE 424 AVENUE,"424 AVENUE O, Brooklyn, New York, NY, USA",40.611529,-73.969664,Unchecked,3174909,3066110009
41,2369,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,350 GRAND,"               ",BRONX,"GRAND CONCOURSE          ",GRAND CONCOURSE PETROLE,Bronx,"GRAND CONCOURSE PETROLEUM LLC    ",3000,"             ",350,608224,,,350 GRAND 350 GRAND,"350 GRAND STREET, Brooklyn, New York, NY, USA",40.712282,-73.956084,Unchecked,3062841,3023960014
42,2467,Feature,,NY,"A     ",11201,"BROOKLYN          ",11201,Store,NY,445 GOLD ST,"               ",BROOKLYN,"GOLD ST SUITE C-020      ","TRADER JOE'S #547      ",Kings,"TRADER JOE'S EAST INC            ",0,"             ",445,728061,,,445 GOLD ST 445 GOLD ST,"445 GOLD STREET, Brooklyn, New York, NY, USA",40.691062,-73.982871,Unchecked,3397861,3001497501
43,2539,Feature,,NY,"A     ",10455,"BRONX             ",10455,Store,NY,911 AVENUE ST,"               ",BRONX,"AVENUE ST JOHN               ","GAY GROCERY            ",Bronx,"GAY GROCERY INC                  ",500,"             ",911,734059,,,911 AVENUE ST 911 AVENUE ST,"911 AVENUE ST JOHN'S, Bronx, New York, NY, USA",40.815936,-73.902647,Unchecked,2005128,2026860013
44,2551,Feature,,NY,"JABCH ",11230,"BROOKLYN          ",11230,Store,NY,1906 AVENUE,"               ",BROOKLYN,"AVENUE M                    ","M BAKERY               ",Kings,"KAFF BAKERY INC                  ",0,"             ",1906,734161,,,1906 AVENUE 1906 AVENUE,"1906 AVENUE P, Brooklyn, New York, NY, USA",40.610595,-73.954445,Unchecked,3182508,3067820003
45,2554,Feature,,NY,"JAC   ",11204,"BROOKLYN          ",11204,Store,NY,30 AVENUE,"               ",BROOKLYN,"AVENUE O                      ","BAZAAR DELI & GROCERY  ",Kings,"BAZAAR DELI & GROCERY INC        ",0,"             ",30,743333,,,30 AVENUE 30 AVENUE,"23-30 30 AVENUE, Queens, New York, NY, USA",40.768645,-73.925707,Unchecked,4006775,4005720039
46,2630,Feature,,NY,"JAC   ",10456,"BRONX             ",10456,Store,NY,1420 GRAND,"               ",BRONX,"GRAND CONCOURSE           ","GREEN EARTH GRCY STORE ",Bronx,"GREEN EARTH FOOD CORP            ",1500,"             ",1420,609457,,,1420 GRAND 1420 GRAND,"1420 GRAND CONCOURSE, Bronx, New York, NY, USA",40.839061,-73.91267,Unchecked,2007988,2028320008
47,2704,Feature,,NY,"JAC   ",10457,"BRONX             ",10457,Store,NY,396 E 171 ST AKA 1477 WEBSTER AVE,"               ",BRONX,E 171 ST AKA 1477 WEBSTER AVE,"EDDY DELI GROCERY      ",Bronx,"EDDY DELI GROCERY INC            ",0,"             ",396,734660,,,396 E 171 ST AKA 1477 WEBSTER AVE 396 E 171 ST AKA 1477 WEBSTER AVE,"396 EAST 171 STREET, Bronx, New York, NY, USA",40.838505,-73.906264,Unchecked,2009299,2028870114
48,2727,Feature,,NY,"JAC   ",10457,"BRONX             ",10457,Store,NY,1454 GRAND,"               ",BRONX,"GRAND CONCOURSE         ","1454 MC DELI GROCERY   ",Bronx,"1454 MC DELI GROCERY CORP        ",1400,"             ",1454,728237,,,1454 GRAND 1454 GRAND,"1454 GRAND CONCOURSE, Bronx, New York, NY, USA",40.840003,-73.912588,Unchecked,2007991,2028320030
49,2774,Feature,,NY,"JAC   ",10468,"BRONX             ",10468,Store,NY,2837 2839,"               ",BRONX,"GRAND CONCOURSE        ","F&K FOOD CENTER        ",Bronx,"F&K FOOD CENTER CORP             ",2000,"             ",2837-2839,606690,,,2837 2839 2837 2839,?,?,?,Failed,?,?
50,2822,Feature,,NY,"JAC   ",10468,"BRONX             ",10468,Store,NY,2563 2565,"               ",BRONX,"GRAND CONCOURSE        ","YENIDE DELI GROCERY    ",Bronx,"ALANIS DELI GROCERY CORP         ",1500,"             ",2563-2565,602442,,,2563 2565 2563 2565,?,?,?,Failed,?,?
51,2836,Feature,,NY,"JABC  ",11223,"BROOKLYN          ",11223,Store,NY,357 AVENUE,"               ",BROOKLYN,"AVENUE  X                    ","A&S BAKE CITY BAGELS   ",Kings,"JOE JRS BAGEL CORP               ",4000,"             ",357,729249,,,357 AVENUE 357 AVENUE,"357 AVENUE T, Brooklyn, New York, NY, USA",40.599641,-73.971976,Unchecked,3191460,3071040049
52,2838,Feature,,NY,"JAC   ",11234,"BROOKLYN          ",11234,Store,NY,4013 AVENUE,"               ",BROOKLYN,"AVENUE T                    ","DAIRY MART             ",Kings,"JULIANA&J GROCERY INC            ",1500,"             ",4013,610026,,,4013 AVENUE 4013 AVENUE,"4013 AVENUE T, Brooklyn, New York, NY, USA",40.610375,-73.926429,Unchecked,3241199,3085260005
53,2875,Feature,,NY,"JAC   ",10454,"BRONX             ",10454,Store,NY,221 ST ANNS AVE,"               ",BRONX,"ST ANNS AVE            ","JOSE DELI GROCERY      ",Bronx,"JOSE DELI GROCERY CORP           ",2000,"             ",221,607185,,,221 ST ANNS AVE 221 ST ANNS AVE,"221 ST ANN'S AVENUE, Bronx, New York, NY, USA",40.807168,-73.917517,Unchecked,2000065,2022660025
54,2935,Feature,,NY,"JAC   ",11203,"BROOKLYN          ",11203,Store,NY,4624 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","A&M GROCERY STORE      ",Kings,"MAJRUD ABDO S                    ",1800,"             ",4624,610327,,,4624 AVENUE 4624 AVENUE,"4624 AVENUE H, Brooklyn, New York, NY, USA",40.632449,-73.931461,Unchecked,3214351,3077500048
55,2985,Feature,,NY,"A     ",11229,"BROOKLYN          ",11229,Store,NY,1323B AVE,"               ",BROOKLYN,"AVE U                      ","PO SENG TONG           ",Kings,"PO SENG TONG INC                 ",1000,"             ",1323B,616402,,,1323B AVE 1323B AVE,?,?,?,Failed,?,?
56,2989,Feature,,NY,"JAC   ",11236,"BROOKLYN          ",11236,Store,NY,108 04 FLATLANDS AVE,"               ",BROOKLYN,"FLATLANDS AVE             ","BP GAS & SHOP          ",Kings,"FLAT PETROLEUM INC               ",1000,"             ",108-04,735493,,,108 04 FLATLANDS AVE 108 04 FLATLANDS AVE,?,?,?,Failed,?,?
57,3011,Feature,,NY,"JAC   ",11222,"BROOKLYN          ",11222,Store,NY,917 921 MANHATTEN AVE,"               ",BROOKLYN,"MANHATTEN AVE        ","DOWNTOWN MARKET PLACE  ",Kings,"HASMUKHS NATURAL MARKET INC      ",0,"             ",917-921,741841,,,917 921 MANHATTEN AVE 917 921 MANHATTEN AVE,?,?,?,Failed,?,?
58,3058,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,760 GRAND,"               ",BRONX,"GRAND CONCOURSE              ","156 FOOD MARKET        ",Bronx,"156 FOOD MARKET INC              ",1800,"             ",760,608643,,,760 GRAND 760 GRAND,"760 GRAND CONCOURSE, Bronx, New York, NY, USA",40.823534,-73.923875,Unchecked,2002788,2024580072
59,3116,Feature,,NY,"JAC   ",11236,"BROOKLYN          ",11236,Store,NY,105 04 FLATLANDS AVE,"               ",BROOKLYN,"FLATLANDS AVE       ","7 ELEVEN STORE #37060A ",Kings,"ZK 10504 CORPORATION             ",2000,"             ",105-04,730616,,,105 04 FLATLANDS AVE 105 04 FLATLANDS AVE,?,?,?,Failed,?,?
60,3170,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,888A GRAND,"               ",BRONX,"GRAND CONCOURSE             ",NADAL 3 DELI CONVNIENCE,Bronx,"NADAL 3 DELI CONVENIENCE INC     ",1800,"             ",888A,608908,,,888A GRAND 888A GRAND,"888A GRAND CONCOURSE, Bronx, New York, NY, USA",40.826345,-73.922019,Unchecked,2002796,2024590034
61,3203,Feature,,NY,"A     ",11207,"BROOKLYN          ",11207,Store,NY,111 20 FLATLANDS AVE,"               ",BROOKLYN,"FLATLANDS AVE             ","ISHA CARD SHOP         ",Kings,"ISHA CARD SHOP LLC               ",1000,"             ",111-20,729787,,,111 20 FLATLANDS AVE 111 20 FLATLANDS AVE,?,?,?,Failed,?,?
62,3314,Feature,,NY,"JAC   ",10457,"BRONX             ",10457,Store,NY,234 238 E 181 ST,"               ",BRONX,"E 181 ST                 ","VEGANO SUPERMARKET     ",Bronx,"VEGANO SUPERMARKET CORP          ",0,"             ",234-238,723673,,,234 238 E 181 ST 234 238 E 181 ST,?,?,?,Failed,?,?
63,3384,Feature,,NY,"JAC   ",11228,"BROOKLYN          ",11228,Store,NY,7813 7817 15TH AVE,"               ",BROOKLYN,"15TH AVE               ",PAPA PASQUALE RAVIOLI&P,Kings,PAPA PASQUALE RAVIOLI&PSTA CO INC,6000,"             ",7813-7817,613991,,,7813 7817 15TH AVE 7813 7817 15TH AVE,?,?,?,Failed,?,?
64,3433,Feature,,NY,JABCHK,11230,"BROOKLYN          ",11230,Store,NY,1720 AVENUE,"               ",BROOKLYN,"AVENUE M                    ","PRESSERS KOSHER BAKERY ",Kings,"PRESTIGE BAKING CORP             ",2500,"             ",1720,619294,,,1720 AVENUE 1720 AVENUE,"1720 AVENUE V, Brooklyn, New York, NY, USA",40.59677,-73.95335,Unchecked,3000000,3073780008
65,3453,Feature,,NY,"JAC   ",11203,"BROOKLYN          ",11203,Store,NY,4902 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","BE SMART FOOD STORE    ",Kings,"BE SMART FOOD STORE INC          ",1600,"             ",4902,611518,,,4902 AVENUE 4902 AVENUE,"4902 AVENUE G, Brooklyn, New York, NY, USA",40.634494,-73.929274,Unchecked,3213513,3077330021
66,3480,Feature,,NY,"JAC   ",10460,"BRONX             ",10460,Store,NY,481 MORRIS PARK AVENUE (TRAIN STA,"               ",BRONX,MORRIS PARK AVENUE (TRAIN STA,"MOCHA COFFEE EXPRESS   ",Bronx,"MOCHA COFFEE EXPRESS LLC         ",0,"             ",481,738695,,,481 MORRIS PARK AVENUE (TRAIN STA 481 MORRIS PARK AVENUE (TRAIN STA,"481 MORRIS PARK AVENUE, Bronx, New York, NY, USA",40.841465,-73.873381,Unchecked,2120184,2040110210
67,3494,Feature,,NY,"JAC   ",11230,"BROOKLYN          ",11230,Store,NY,1624 AVE,"               ",BROOKLYN,"AVE M                       ","M DELI GRILL SMOKESHOP ",Kings,"M DELI GRILL SMOKESHOP INC       ",1200,"             ",1624,742403,,,1624 AVE 1624 AVE,"1624 AVENUE V, Brooklyn, New York, NY, USA",40.596689,-73.954257,Unchecked,3254193,3073770009
68,3504,Feature,,NY,"A     ",10463,"BRONX             ",10463,Store,NY,5625 BROADWAY&amp;232ND ST,"               ",BRONX,"BROADWAY&232ND ST           ","GENERAL NUTRITION 3057 ",Bronx,"GENERAL NUTRITION CORP           ",2000,"             ",5625,600493,,,5625 BROADWAY&amp;232ND ST 5625 BROADWAY&amp;232ND ST,"5625 BROADWAY, Bronx, New York, NY, USA",40.879994,-73.90441,Unchecked,2083164,2057050030
69,3587,Feature,,NY,"A     ",11218,"BROOKLYN          ",11218,Store,NY,17 AVENUE,"               ",BROOKLYN,"AVENUE F                      ","ROSNER 2 GROCERY       ",Kings,"DASHEN INC                       ",1000,"             ",17,617985,,,17 AVENUE 17 AVENUE,"146-17 17 AVENUE, Queens, New York, NY, USA",40.784761,-73.818844,Unchecked,4104677,4046260029
70,3650,Feature,,NY,"JAC   ",11236,"BROOKLYN          ",11236,Store,NY,104 01 GLENWOOD ROAD,"               ",BROOKLYN,"GLENWOOD ROAD             ","JP & M DELI GROCERY    ",Kings,"JP & M DELI GROCERY CORP         ",1500,"             ",104-01,730612,,,104 01 GLENWOOD ROAD 104 01 GLENWOOD ROAD,?,?,?,Failed,?,?
