,index,type,geometry,properties.location_state,properties.estab_type,properties.zip_code,properties.city,properties.location_zip,properties.operation_type,properties.state,properties.location_address,properties.address_line_3,properties.location_city,properties.street_name,properties.dba_name,properties.county,properties.entity_name,properties.square_footage,properties.address_line_2,properties.street_number,properties.license_number,geometry.type,geometry.coordinates,address,_location,_latitude,_longitude,_status,_bin,_bbl
1333,9440,Feature,,NY,"JAC   ",11432,"JAMAICA           ",11432,Store,NY,172 22 HILLSIDE AVE,"               ",JAMAICA,"HILLSIDE AVE              ","173 HILLSIDE DELI      ",Queens,"173 HILLSIDE DELI INC            ",1000,"             ",172-22,737170,,,172 22 HILLSIDE AVE 172 22 HILLSIDE AVE,"172-22 HILLSIDE AVENUE, Queens, New York, NY, USA",40.711653,-73.78948,Unchecked,4210302,4098290041
1334,9441,Feature,,NY,"JAC   ",11691,"FAR ROCKAWAY      ",11691,Store,NY,21 34 MOTT AVE,"               ",FAR ROCKAWAY,"MOTT AVE                   ","JOON'S SEASIDE FISH    ",Queens,"JOON'S SEASIDE FISH CORP         ",0,"             ",21-34,729794,,,21 34 MOTT AVE 21 34 MOTT AVE,"21-34 MOTT AVENUE, Queens, New York, NY, USA",40.60519,-73.75449,Unchecked,4297856,4155280040
1335,9444,Feature,,NY,"A     ",11360,"BAYSIDE           ",11360,Store,NY,24 28 BELL BLVD,"               ",BAYSIDE,"BELL BLVD                  ","DUANE READE 14268      ",Queens,"DUANE READE ET AL PTRS           ",10000,"             ",24-28,636773,,,24 28 BELL BLVD 24 28 BELL BLVD,"24-28 BELL BOULEVARD, Queens, New York, NY, USA",40.779069,-73.776025,Unchecked,4439466,4059000002
1336,9445,Feature,,NY,"JAC   ",11355,"FLUSHING          ",11355,Store,NY,44 24 KISSENA BLVD,"               ",FLUSHING,"KISSENA BLVD               ","FOOD PLUS              ",Queens,"FLUSHING 4424 SUPERMARKET CORP   ",20000,"             ",44-24,632390,,,44 24 KISSENA BLVD 44 24 KISSENA BLVD,"44-24 KISSENA BOULEVARD, Queens, New York, NY, USA",40.753504,-73.822729,Unchecked,4115907,4051370110
1337,9446,Feature,,NY,"JAC   ",11101,"LONG ISLAND CITY  ",11101,Store,NY,40 40 CRESCENT ST,"               ",LONG ISLAND CITY,"CRESCENT ST                ","E-Z STATION            ",Queens,"E-Z STATION INC                  ",1000,"             ",40-40,638766,,,40 40 CRESCENT ST 40 40 CRESCENT ST,"40 CRESCENT STREET, Brooklyn, New York, NY, USA",40.688222,-73.873863,Unchecked,3393991,3041050180
1338,9447,Feature,,NY,"JAC   ",11358,"FLUSHING          ",11358,Store,NY,162 02 NORTHERN BLVD,"               ",FLUSHING,"NORTHERN BLVD             ","JE FRUIT&VEGETABLES    ",Queens,"12JE FRUIT&VEGETABLES INC        ",1200,"             ",162-02,670521,,,162 02 NORTHERN BLVD 162 02 NORTHERN BLVD,?,?,?,Failed,?,?
1339,9449,Feature,,NY,"JAC   ",11432,"JAMAICA           ",11432,Store,NY,182 46 HILLSIDE AVE,"               ",JAMAICA,"HILLSIDE AVE              ","HONISH DELI GROCERY    ",Queens,"HONISH DELI GROCERY INC          ",800,"             ",182-46,634795,,,182 46 HILLSIDE AVE 182 46 HILLSIDE AVE,"182-46 HILLSIDE AVENUE, Queens, New York, NY, USA",40.713538,-73.778952,Unchecked,4212432,4099190034
1340,9450,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,2815 AVENUE,"               ",BROOKLYN,"AVENUE U                    ","DANY DELIS             ",Kings,"DANY DELIS INC                   ",1200,"             ",2815,717428,,,2815 AVENUE 2815 AVENUE,"2815 AVENUE G, Brooklyn, New York, NY, USA",40.634446,-73.949839,Unchecked,3121606,3052490001
1341,9451,Feature,,NY,"JAC   ",11101,"LONG ISLAND CITY  ",11101,Store,NY,50 01 2ND ST,"               ",LONG ISLAND CITY,"2ND ST               ","GOLDEN SUSHI           ",Queens,"GOLDEN OWL BROTHERS INC          ",100,"             ",50-01,718242,,,50 01 2ND ST 50 01 2ND ST,"27-50 1 STREET, Queens, New York, NY, USA",40.77486,-73.93718,Unchecked,4005431,4004900011
1342,9454,Feature,,NY,"JAC   ",11434,"JAMAICA           ",11434,Store,NY,119 01 SUTPHIN BLVD,"               ",JAMAICA,"SUTPHIN BLVD              ","LICONA GROCERY         ",Queens,"LICONA GROCERY INC               ",1200,"             ",119-01,727319,,,119 01 SUTPHIN BLVD 119 01 SUTPHIN BLVD,"119-01 SUTPHIN BOULEVARD, Queens, New York, NY, USA",40.679243,-73.791397,Unchecked,4265172,4122100075
1343,9456,Feature,,NY,"A     ",11418,"RICHMOND HILL     ",11418,Store,NY,102 06 JAMAICA AVE,"               ",RICHMOND HILL,"JAMAICA AVE               ","MY LITTLE STAR         ",Queens,"CHEN PING GROUP INC              ",1000,"             ",102-06,725135,,,102 06 JAMAICA AVE 102 06 JAMAICA AVE,?,?,?,Failed,?,?
1344,9457,Feature,,NY,"JAC   ",11377,"WOODSIDE          ",11377,Store,NY,54 12 31ST AVE,"               ",WOODSIDE,"31ST AVE                   ",NEW WOODSIDE DELI&BAGEL,Queens,"NEW WOODSIDE DELI & BAGEL CORP   ",1500,"             ",54-12,710495,,,54 12 31ST AVE 54 12 31ST AVE,"54-12 31 AVENUE, Queens, New York, NY, USA",40.756806,-73.906898,Unchecked,4025180,4011320001
1345,9465,Feature,,NY,"JAC   ",11421,"WOODHAVEN         ",11421,Store,NY,89 04 86TH ST,"               ",WOODHAVEN,"86TH ST                    ","CIBAO GROCERY          ",Queens,"CIBAO GROCERY CORP               ",1600,"             ",89-04,638042,,,89 04 86TH ST 89 04 86TH ST,?,?,?,Failed,?,?
1346,9479,Feature,,NY,"JAC   ",11432,"JAMAICA           ",11432,Store,NY,168 34 JAMAICA AVE,"               ",JAMAICA,"JAMAICA AVE               ","JAMAICA GOURMET DELI 1 ",Queens,"JAMAICA GOURMET DELI 1 INC       ",1200,"             ",168-34,725695,,,168 34 JAMAICA AVE 168 34 JAMAICA AVE,"168-34 JAMAICA AVENUE, Queens, New York, NY, USA",40.706468,-73.791225,Unchecked,4217426,4102100233
1347,9480,Feature,,NY,"JAC   ",11374,"REGO PARK         ",11374,Store,NY,62 49 WOODHAVEN BLVD,"               ",REGO PARK,"WOODHAVEN BLVD             ","J&J SUPER STAR DELI    ",Queens,"J&J SUPER STAR DELI INC          ",1500,"             ",62-49,639900,,,62 49 WOODHAVEN BLVD 62 49 WOODHAVEN BLVD,"62-49 WOODHAVEN BOULEVARD, Queens, New York, NY, USA",40.725921,-73.869672,Unchecked,4073013,4031070144
1348,9485,Feature,,NY,"JAC   ",11375,"FOREST HILLS      ",11375,Store,NY,118 19 QUEENS BLVD,"               ",FOREST HILLS,"QUEENS BLVD               ","MINI MART              ",Queens,"BHAKTI 118 INC                   ",0,"             ",118-19,742721,,,118 19 QUEENS BLVD 118 19 QUEENS BLVD,"118-19 QUEENS BOULEVARD, Queens, New York, NY, USA",40.715113,-73.831464,Unchecked,4052809,4022700013
1349,9486,Feature,,NY,"JAC   ",11418,"RICHMOND HILL     ",11418,Store,NY,102 61 JAMAICA AVE,"               ",RICHMOND HILL,"JAMAICA AVE               ",LOS POBLANITOS DELI GRO,Queens,"LOS POBLANITOS DELI GROCERY CORP ",0,"             ",102-61,719549,,,102 61 JAMAICA AVE 102 61 JAMAICA AVE,"102-61 JAMAICA AVENUE, Queens, New York, NY, USA",40.695363,-73.843161,Unchecked,4191664,4091870029
